,Company,TypeName,RAM(GB),OpSys,Weight(kg),TouchScreen,IPS,PPI,CPU,HDD,SSD,GPU Brand,Price(€)
0,Apple,Ultrabook,8,MacOS,1.37,0,1,226.98300468106115,Intel Core i5,0,128,Intel,790.1548851556801
1,Apple,Ultrabook,8,MacOS,1.34,0,0,127.67794013309688,Intel Core i5,0,0,Intel,530.1986522716801
2,HP,Notebook,8,Other,1.86,0,0,141.21199808219862,Intel Core i5,0,256,Intel,339.1374564
3,Apple,Ultrabook,16,MacOS,1.83,0,1,220.53462386625827,Intel Core i7,0,512,AMD,1496.5988499864
4,Apple,Ultrabook,8,MacOS,1.37,0,1,226.98300468106115,Intel Core i5,0,256,Intel,1063.7709849792002
5,Acer,Notebook,4,Windows,2.1,0,0,100.45466986113651,AMD,500,0,AMD,235.9217088
6,Apple,Ultrabook,16,MacOS,2.04,0,1,220.53462386625827,Intel Core i7,0,0,Intel,1262.16344795184
7,Apple,Ultrabook,8,MacOS,1.34,0,0,127.67794013309688,Intel Core i5,0,0,Intel,683.4062099664001
8,Asus,Ultrabook,16,Windows,1.3,0,0,157.3505121487356,Intel Core i7,0,512,Nvidia,881.7573866399999
9,Acer,Ultrabook,8,Windows,1.6,0,1,157.3505121487356,Intel Core i5,0,256,Intel,454.14928944
10,HP,Notebook,4,Other,1.86,0,0,100.45466986113651,Intel Core i5,500,0,Intel,232.32390274079998
11,HP,Notebook,4,Other,1.86,0,0,141.21199808219862,Intel Core i3,500,0,Intel,203.47657579728002
12,Apple,Ultrabook,16,MacOS,1.83,0,1,220.53462386625827,Intel Core i7,0,256,AMD,1439.10472955184
13,Dell,Notebook,4,Windows,2.2,0,0,141.21199808219862,Intel Core i3,0,256,AMD,294.25335130080003
14,Apple,Ultrabook,8,MacOS,0.92,0,1,226.41554716935852,Other Intel,0,256,Intel,744.5689129728001
15,Apple,Ultrabook,8,MacOS,1.37,0,1,226.98300468106115,Intel Core i5,0,256,Intel,895.6472772456
16,Dell,Notebook,8,Windows,2.2,0,0,141.21199808219862,Intel Core i7,0,256,AMD,439.40418264
17,Apple,Ultrabook,16,MacOS,1.83,0,1,220.53462386625827,Intel Core i7,0,512,AMD,1685.660609376
18,Lenovo,Notebook,8,Other,2.2,0,0,141.21199808219862,Intel Core i3,1000,0,Nvidia,294.312331728
19,Dell,Ultrabook,8,Windows,1.22,1,1,165.6321180513006,Intel Core i5,0,128,Intel,577.4183822880001
20,Asus,Netbook,2,Windows,0.98,0,0,135.0942111925629,Other Intel,0,0,Intel,113.18343979680002
21,Lenovo,Gaming,8,Windows,2.5,0,1,141.21199808219862,Intel Core i5,1000,128,Nvidia,589.214467728
22,HP,Notebook,4,Other,1.86,0,0,100.45466986113651,AMD,500,0,AMD,152.169502176
23,Dell,2 in 1 Convertible,8,Windows,1.62,1,0,165.6321180513006,Intel Core i5,0,256,Intel,483.04969876800004
24,HP,Ultrabook,8,Windows,1.91,0,0,141.21199808219862,Intel Core i7,0,256,Intel,388.681015248
25,Dell,Notebook,4,Windows,2.3,0,0,100.45466986113651,Intel Core i3,1000,0,Intel,246.91566043008004
26,Apple,Ultrabook,8,MacOS,1.35,0,0,127.67794013309688,Intel Core i5,0,0,Intel,648.194894928
27,Dell,Notebook,8,Windows,2.2,0,0,141.21199808219862,Intel Core i5,0,256,AMD,471.8434176
28,Dell,Ultrabook,8,Windows,1.88,0,0,141.21199808219862,Intel Core i7,0,512,Intel,765.565945056
29,HP,Notebook,8,Windows,2.5,0,0,127.33567457123111,Intel Core i5,1000,0,Nvidia,528.464627712
30,Chuwi,Notebook,4,Windows,1.89,0,0,141.21199808219862,Other Intel,0,0,Intel,144.49614859728
31,Asus,Notebook,2,Windows,1.65,0,0,111.93520355955211,AMD,0,0,AMD,117.371050128
32,HP,Notebook,4,Windows,2.71,0,0,127.33567457123111,AMD,500,0,AMD,258.924075408
33,Dell,Ultrabook,16,Windows,1.2,1,0,276.053530085501,Intel Core i7,0,512,Intel,1102.3441843680002
34,Apple,Ultrabook,8,MacOS,1.35,0,0,127.67794013309688,Intel Core i5,0,0,Intel,588.624663456
35,Lenovo,Notebook,4,Windows,1.44,0,0,111.93520355955211,Other Intel,0,0,Intel,146.861263728
36,Acer,Notebook,4,Linux,2.1,0,0,100.45466986113651,Intel Core i3,1000,0,Intel,216.458167824
37,Dell,Notebook,8,Windows,2.8,0,1,127.33567457123111,Intel Core i5,1000,128,AMD,577.4183822880001
38,HP,Notebook,4,Windows,1.86,0,0,100.45466986113651,Intel Core i5,1000,0,Intel,288.23144968368
39,HP,Notebook,8,Windows,2.1,0,0,141.21199808219862,Intel Core i5,0,256,Nvidia,518.4379550880001
40,Asus,Notebook,4,Linux,2.0,0,0,141.21199808219862,Intel Core i3,1000,0,Intel,229.433861808
